FID;Shape;Nama Kelom;Nama Prope;Alamat Len;Kategori P;Status Pro;Harga Prop;Luas Bangu;Luas Tanah;Jenis Sert;NTL2025;KEP2025;EKON2025;NTL2030;KEP2030;EKON2030;NTL2035;KEP2035;EKON2035;Dekat Exit Tol;LatLong;Bandar Udara 2025;Kebun/Perkebunan 2025;Permukiman Perdesaan 2025;Permukiman Perkotaan 2025;Permukiman Semi Desa 2025;Rumput/Tanah Kosong 2025;Sawah irigasi 2025;Tegalan/Ladang 2025;Bandar Udara 2030;Kebun/Perkebunan 2030;Permukiman Perdesaan 2030;Permukiman Perkotaan 2030;Permukiman Semi Desa 2030;Rumput/Tanah Kosong 2030;Sawah irigasi 2030;Tegalan/Ladang 2030;Bandar Udara 2035;Kebun/Perkebunan 2035;Permukiman Perdesaan 2035;Permukiman Perkotaan 2035;Permukiman Semi Desa 2035;Rumput/Tanah Kosong 2035;Sawah irigasi 2035;Tegalan/Ladang 2035
0;Point;Propix;Wahana Kaos;Jl. Ring Road Bar. No.18, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293;Gudang;Jual;13500000000;595;1720;Sertifikat Hak Guna Bangunan (SHGB);Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.7962607,110.3302832;0%;0%;0%;36%;57%;0%;7%;0%;0%;0%;0%;67%;25%;0%;8%;0%;0%;0%;0%;75%;17%;0%;8%;0%
1;Point;Propix;Ruko Kronggahan;Jl. Kabupaten, KRONGGAHAN II, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291;Ruko;Jual;3999999997;390;250;Sertifikat Hak Milik (SHM);Sedang;Tinggi;Tinggi;Sedang;Tinggi;Tinggi;Sedang;Tinggi;Tinggi;Tidak;-7.7188135,110.3520005;0%;0%;11%;0%;61%;0%;28%;0%;0%;0%;0%;0%;72%;0%;28%;0%;0%;0%;0%;0%;72%;0%;28%;0%
2;Point;Propix;Homwok Godean;Jl. Kabupaten No.36, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592;Ruko;Jual;1650000000;105;83;Sertifikat Hak Guna Bangunan (SHGB);Sedang;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.7777044,110.3389519;0%;0%;0%;0%;73%;0%;27%;0%;0%;0%;0%;33%;40%;0%;27%;0%;0%;0%;0%;80%;0%;0%;20%;0%
3;Point;Propix;Perumahan Nogotirto;Jl. Lingkungan Nogotirto Asri, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592;Rumah;Jual;1700000000;117;249;Sertifikat Hak Milik (SHM);Sedang;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.7685864,110.3395712;0%;0%;0%;0%;88%;0%;12%;0%;0%;0%;0%;29%;59%;0%;12%;0%;0%;0%;0%;65%;24%;0%;12%;0%
4;Point;Propix;Ruko Godean;Jl. Ngapak - Kentheng No.Km. 5, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293;Ruko;Jual;5600000000;250;397;Sertifikat Hak Milik (SHM);Sedang;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.7772675525768555, 110.33277188994255;0%;0%;0%;0%;89%;0%;11%;0%;0%;0%;0%;22%;67%;0%;11%;0%;0%;0%;0%;61%;33%;0%;6%;0%
5;Point;Propix;Rumah Godean;Wirokraman, Sidokarto, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta;Rumah;Jual;525000000;85;117;Sertifikat Hak Milik (SHM);Rendah;Sedang;Sedang;Sedang;Sedang;Tinggi;Sedang;Sedang;Tinggi;Tidak;-7.7831262,110.3106816;0%;0%;13%;0%;44%;0%;38%;6%;0%;0%;6%;0%;50%;0%;38%;6%;0%;0%;0%;0%;56%;0%;38%;6%
6;Point;Propix;Dkriuk Kebon Agung;Jl. Kebon Agung, Mriyan, Margomulyo, Kec. Seyegan, Yogyakarta, Daerah Istimewa Yogyakarta 55561;Ruko;Jual;2499999997;200;240;Sertifikat Hak Milik (SHM);Sedang;Sedang;Sedang;Sedang;Sedang;Sedang;Sedang;Sedang;Sedang;Tidak;-7.7270538,110.3179203;0%;0%;67%;0%;6%;0%;28%;0%;0%;0%;28%;0%;44%;0%;28%;0%;0%;0%;0%;0%;72%;0%;28%;0%
7;Point;Propix;Ruko Dekat JCM;Jl. Magelang No.5,8, Kutu Patran, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284;Ruko;Jual;7900000000;250;382;Sertifikat Hak Milik (SHM);Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.7540604,110.3621092;0%;0%;0%;48%;33%;0%;19%;0%;0%;0%;0%;57%;24%;0%;19%;0%;0%;0%;0%;62%;19%;0%;19%;0%
8;Point;Propix;Ruko Area Monjali;Jl. Monjali No.126, Gemawang, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284;Ruko;Jual;3900000000;277;134;Sertifikat Hak Guna Bangunan (SHGB);Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tinggi;Tidak;-7.762886852539515, 110.3693844693192;0%;0%;0%;94%;0%;0%;6%;0%;0%;0%;0%;94%;0%;0%;6%;0%;0%;0%;0%;94%;0%;0%;6%;0%
9;Point;Propix;Ruko Jamal;Km 8, Jl. Magelang No.5, Mlati Glondong, Sendangadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55285;Ruko;Jual;3700000000;250;301;Sertifikat Hak Guna Bangunan (SHGB);Sedang;Tinggi;Tinggi;Sedang;Tinggi;Tinggi;Sedang;Tinggi;Tinggi;Tidak;-7.7297971,110.3607856;0%;0%;0%;0%;72%;0%;28%;0%;0%;0%;0%;17%;56%;0%;28%;0%;0%;0%;0%;28%;56%;0%;17%;0%
