No,Nama,Alamat,Tipe,Status,Harga (Juta),Luas Bangunan (m2),Luas Tanah (m2),Jenis Sertifikat,Link,Lokasi,,Mapid form Submitted = 48,LatLong,catatan,PZ,Foto,
1,Ruko Jl Magelang,"Jl Magelang Km 11, Dukuh, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Ruko,Jual,3900,300,328,HM,https://www.rumah123.com/properti/sleman/shs4502928/,,,FALSE,,belum ada lokasi,,,
3,Ruko Ruang Usaha ,"Jl Kaliurang Km 18, Umbulmartani, Ngemplak, Sleman, Daerah Istimewa Yogyakarta",Ruko,Jual,5000,330,962,HGB,https://www.rumah123.com/properti/sleman/css4537063/,,,FALSE,,belum ada lokasi,,,
23,Abiyya Town House,"Abiyya Town House, Jl. Kaliurang Jl. Bias, Gadingan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Rumah,Jual,190,25,25,HM,Abiyya Town House - Google Maps,,,TRUE,"-7.712783121590344, 110.40560544417549",,,"23/cmubs8h3pgjmpmvbrkq5
23/ozaw1dxifriotp8juwbl",
38,Altuz,"Jl. Seturan Raya No.10A, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Apartemen,Jual,600,27,27,HGB,"https://www.google.com/maps/place/Altuz+Apartment+Seturan+Yogyakarta/@-7.7719258,110.4077374,661m/data=!3m2!1e3!4b1!4m9!3m8!1s0x2e7a59ae4763b97f:0x2e75a4701ead2061!5m2!4m1!1i2!8m2!3d-7.7719311!4d110.4103123!16s%2Fg%2F11l1yxdvyd?hl=id&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.7716919185644535, 110.4102371981543",,,"38/f2o1vyz1o1iupok1xd9o
38/osshaxuiqjg22qrnak1n
38/n46asx7qqc6axxfbsdbc
38/m9psqufakpzwbdgllztz",
28,Arshaka Townhouse,"Wadas Tridadi, Sleman Regency, Special Region of Yogyakarta, Indonesia
Sleman, Sleman, Daerah Istimewa Yogyakarta",Rumah,Jual,575,70,98,HM,"https://www.google.com/maps/place/ARSHAKA+TOWN+HOUSE+by+SANGKARA+Project+Constructions/@-7.7000467,110.346965,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5f0040218b91:0x7a375a1f2526a774!8m2!3d-7.700052!4d110.3495399!16s%2Fg%2F11lcx64lgj?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.699823409900655, 110.34945406931922",,,"28/hpn4raajjtq47rupv1st
28/o1cq5kgdez7afkky6kjt
28/xcd7efrlq8ngc0nyjqae
28/mssatt9dktqitcen03ik
28/bux82tv83yxdracmzmh8
28/v78vjlo1l1hzspxwvitl",
7,Rumah Asri,"Jl. Tunjungan Raya, Tirtomartani, Kalasan, Sleman, Daerah Istimewa Yogyakarta",Rumah,Jual,635,60,112,HM,,"https://www.google.com/maps/place/7%C2%B045'17.5%22S+110%C2%B028'32.0%22E/@-7.7542877,110.4737241,467m/data=!3m1!1e3!4m4!3m3!8m2!3d-7.754859!4d110.4755419?hl=en&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,FALSE,"-7.754611937117604, 110.47556945963689",rumahnya belum jadi?,,,
45,Axel Jaya Gafindo,"Jl. Magelang KM.11 No.39, Beran Lor, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511",Ruko,Jual,2100,452,226,HM,,,,TRUE,"-7.7137466,110.3592118",,,"45/xhz1bzcoxidsxbrlaoaf
45/puyii99dflvgplnm7ryy
45/swi5v3fozg88x22y97cp",
37,Barsa City,"Jl. Laksda Adi Sutjipto Km. 7, Flyover, Janti, Caturtunggal, Kec. Depok, Kabupaten Sleman, Yogyakarta, Daerah Istimewa Yogyakarta 55281",Apartemen,Jual,635,23,23,HM,"https://www.google.co.id/maps/place/Apartemen+Barsa+City+By+The+City+Space/@-7.7809847,110.4120811,17z/data=!4m15!1m8!3m7!1s0x2e7a5938f2e49c0d:0xc841dc9c624f32f3!2sApartemen+Barsa+City+By+The+City+Space!8m2!3d-7.7810176!4d110.4121924!10e5!16s%2Fg%2F11w9h4d4gd!3m5!1s0x2e7a5938f2e49c0d:0xc841dc9c624f32f3!8m2!3d-7.7810176!4d110.4121924!16s%2Fg%2F11w9h4d4gd?hl=id&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.7808518243088916, 110.41216693068078",,,"37/ojurakndu7ibz7l3tpfs
37/zrlvw08kt2wi76prbnnr
37/l7jvvftouwvvhhuopolo
37/wxoiorzkzcypfowfynlq
37/cwyiogahjpbrruv9n92s",
10,Ruko Wahid Hasyim,"Jl. Manggis No.51, Nologaten, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Ruko,Jual,25000,,271,HM,,"https://www.google.com/maps/place/Cleansy+Laundry/@-7.7733542,110.4006173,3a,75y,146.62h,67.23t/data=!3m7!1e1!3m5!1sBsaAgnrasc3ydTimaKvzxw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D22.769624483884613%26panoid%3DBsaAgnrasc3ydTimaKvzxw%26yaw%3D146.61764715261808!7i16384!8i8192!4m14!1m7!3m6!1s0x2e7a599bb58b53d3:0x1587ecde671bdf5d!2sCleansy+Laundry!8m2!3d-7.7734064!4d110.4005129!16s%2Fg%2F11sfq6rp98!3m5!1s0x2e7a599bb58b53d3:0x1587ecde671bdf5d!8m2!3d-7.7734064!4d110.4005129!16s%2Fg%2F11sfq6rp98?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,FALSE,"-7.773225678018718, 110.40053435138348",gaada luas bangunan,,,
61,Borneo Mart,"Jl. Seturan Raya No.189, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Ruko,Jual,9900,480,200,HM,"-7.7627051,110.4118345",,,TRUE,,,,61/cmzn8eg3njqcullc7xr3,
