FID,Shape,Nama Kelom,Nama,Alamat Len,Kategori P,Status Pro,Harga Prop,Luas Bangu,Luas Tanah,Jenis Sert,Dokumentas,NTL,KEP2025,EKON2025,Dekat Exit Tol,Bandar Udara,Kebun/Perkebunan,Permukiman Perdesaan,Permukiman Perkotaan,Permukiman Semi Desa,Rumput/Tanah Kosong,Sawah irigasi,Tegalan/Ladang,Rasio Luas Bangunan,LatLong,Latitude,Longitude
1,Point,Propix,Ruko Kronggahan,"Jl. Kabupaten, KRONGGAHAN II, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291",Ruko,Jual,3999999997,390.0,250.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742115474051_img_%25a_%2586f7e089-ce09-45a8-8241-48974d803de2.jpeg,Sedang,Tinggi,Tinggi,Tidak,0.0,0.0,0.11,0.0,0.61,0.0,0.28,0.0,1.56,"-7.7409983,110.3497101",-7.7409983,110.3497101
2,Point,Propix,Homwok Godean,"Jl. Kabupaten No.36, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592",Ruko,Jual,1650000000,105.0,83.0,Sertifikat Hak Guna Bangunan (SHGB),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742114840730_img_%25a_%25bb313e38-8ed1-4e71-9e64-d00124f4a02e.jpeg,Sedang,Tinggi,Tinggi,Tidak,0.0,0.0,0.0,0.0,0.61,0.0,0.22,0.0,1.2650602409638554,"-7.7777044,110.3389519",-7.7777044,110.3389519
3,Point,Propix,Perumahan Nogotirto,"Jl. Lingkungan Nogotirto Asri, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592",Rumah,Jual,1700000000,117.0,249.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741960075977_img_%25e_%25d07b3f7a-6110-467b-b00a-eccd4ac77b21.jpeg,Sedang,Tinggi,Tinggi,Tidak,0.0,0.0,0.0,0.0,0.83,0.0,0.11,0.0,0.46987951807228917,"-7.7685864,110.3395712",-7.7685864,110.3395712
4,Point,Propix,Ruko Godean,"Jl. Ngapak - Kentheng No.Km. 5, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293",Ruko,Jual,5600000000,250.0,397.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741803196907_img_%25d_%25845eaa63-a7bf-49a1-8129-9c91b0dfcad6.jpeg,Sedang,Tinggi,Tinggi,Tidak,0.0,0.0,0.0,0.0,0.89,0.0,0.11,0.0,0.6297229219143576,"-7.7769447,110.3300261",-7.7769447,110.3300261
4,Point,Propix,Ruko Godean,"Jl. Ngapak - Kentheng No.Km. 5, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293",Ruko,Jual,5600000000,250.0,397.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741803196907_img_%25d_%25845eaa63-a7bf-49a1-8129-9c91b0dfcad6.jpeg,Sedang,Tinggi,Tinggi,Tidak,0.0,0.0,0.0,0.0,0.89,0.0,0.11,0.0,0.6297229219143576,"-7.7772675525768555, 110.33277188994255",-7.7772675525768555, 110.33277188994255
5,Point,Propix,Rumah Godean,"Wirokraman, Sidokarto, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Rumah,Jual,525000000,85.0,117.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741842066767_img_%25c_%25e917054e-31f2-48e6-aaba-d09d1fb7247f.jpeg,Rendah,Sedang,Sedang,Tidak,0.0,0.0,0.11,0.0,0.39,0.0,0.33,0.06,0.7264957264957265,"-7.7831262,110.3106816",-7.7831262,110.3106816
6,Point,Propix,Dkriuk Kebon Agung,"Jl. Kebon Agung, Mriyan, Margomulyo, Kec. Seyegan, Yogyakarta, Daerah Istimewa Yogyakarta 55561",Ruko,Jual,2499999997,200.0,240.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742115166232_img_%25b_%25a2ad13f5-ae73-413d-bf81-ad04f6047432.jpeg,Sedang,Sedang,Sedang,Tidak,0.0,0.0,0.67,0.0,0.06,0.0,0.28,0.0,0.8333333333333334,"-7.7270538,110.3179203",-7.7270538,110.3179203
7,Point,Propix,Ruko Dekat JCM,"Jl. Magelang No.5,8, Kutu Patran, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Ruko,Jual,7900000000,250.0,382.0,Sertifikat Hak Milik (SHM),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742134292425_img_%25a_%256de5370f-f0ab-4c48-84aa-2ca8a1e8c452.jpeg,Tinggi,Tinggi,Tinggi,Tidak,0.0,0.0,0.0,0.56,0.39,0.0,0.22,0.0,0.6544502617801047,"-7.7540604,110.3621092",-7.7540604,110.3621092
8,Point,Propix,Ruko Area Monjali,"Jl. Monjali No.126, Gemawang, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Ruko,Jual,3900000000,277.0,134.0,Sertifikat Hak Guna Bangunan (SHGB),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/tanpa%20login/1741803457624_img_%25a_%25d06d8ca3-c683-4824-8dcb-4ffbf799c399.jpeg,Tinggi,Tinggi,Tinggi,Tidak,0.0,0.0,0.0,0.83,0.0,0.0,0.06,0.0,2.0671641791044775,"-7.762886852539515, 110.3693844693192",-7.762886852539515, 110.3693844693192
9,Point,Propix,Ruko Jamal,"Km 8, Jl. Magelang No.5, Mlati Glondong, Sendangadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55285",Ruko,Jual,3700000000,250.0,301.0,Sertifikat Hak Guna Bangunan (SHGB),https://mapidstorage.s3.ap-southeast-1.amazonaws.com/general_image/propix_anggitanovi/1742015721177_img_%25a_%25bb01d6b5-3ce8-4fa9-99ba-6911bbc41532.jpeg,Sedang,Tinggi,Tinggi,Tidak,0.0,0.0,0.0,0.0,0.72,0.0,0.28,0.0,0.8305647840531561,"-7.7297971,110.3607856",-7.7297971,110.3607856
